logged_at_utc,event,symbol,expiry,window_from,window_to,option_type,strike,instrument_symbol,instrument_token,candles_count,min_required_candles,avg_volume,min_avg_volume,previous_candle_time,candle_time,candle_open,candle_high,candle_low,candle_close,previous_close,current_close,price_multiplier,threshold_upper,change_percent,comparison,signal_detected,skip_reason,note
2026-02-25T16:56:56.938143Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,3000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.006499Z,skip_strike,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1100.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.152831Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4300.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.247625Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,3050.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.320826Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1300.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.406489Z,skip_strike,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1150.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.536863Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4250.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.625328Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,3100.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.710333Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1350.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.784732Z,skip_strike,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1200.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:57.912018Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4200.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.013623Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,3150.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.094364Z,skip_strike,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1250.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.167582Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.294796Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4150.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.391628Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,3200.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.488106Z,skip_strike,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1300.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.562233Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1450.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.684273Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4100.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.764533Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,3250.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.864687Z,skip_strike,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1350.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:58.952136Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1500.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:59.053866Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4050.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:59.137335Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,PE,2250.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:59.262383Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1550.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:59.326988Z,skip_strike,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
